NAME,the_geom,TEL,URL,ADDRESS1,CITY,ZIP,GRADING
Irit Baniel Studio,POINT (-73.95735398174229 40.7164045276523),(917) 202-2527,http://iritbaniel.com/index.php,582 DRIGGS AVENUE,Brooklyn,11211,5.8
Lunarbase Inc,POINT (-73.96034431950848 40.71427464948914),(718) 599-9205,http://brooklynny.zemantics.com/business/lunarbase-inc,197 Grand St,Brooklyn,11211,5.8
Master Drawing Assoc,POINT (-73.92992226435246 40.68805923739471),(718) 573-1299,http://www.masterdrawings.org/,669 Monroe St,Brooklyn,11221,5.7
531 Artspace,POINT (-73.94713438435649 40.72132181792675),(718) 388-6087,http://newyork.citywaboo.com/business/2200841/531_Artspace-in-Brooklyn-NY_11222-4852.html,531 Graham Ave,Brooklyn,11222,5.7
Judaica Illuminations,POINT (-73.96395886372667 40.61677557755918),(718) 375-4600,http://www.judaicailluminations.com/,1664 Coney Island Ave,Brooklyn,11230,5.7
Momenta Art Gallery,POINT (-73.96295355070409 40.71150041862991),(718) 218-8058,http://momentaart.org/,359 Bedford Ave,Brooklyn,11211,5.7
Miakey Art Gallery,POINT (-74.00855557930753 40.64025482225344),(718) 686-0788,http://find.mapmuse.com/details/art-galleries/3229245,5402 7th Ave,Brooklyn,11220,5.6
Brooklyn Fireproof,POINT (-73.92918028109621 40.70788792853058),(718) 456-7570,http://www.brooklynfireproof.com/,119 Ingraham St,Brooklyn,11237,5.6
Hut Gallery the,POINT (-73.98698065821226 40.688071767104695),(718) 222-9519,http://home.vicnet.net.au/~thehut/,84 Hoyt St,Brooklyn,11201,5.6
Healing Arts,POINT (-73.96002001571911 40.71967845207522),(718) 384-6773,http://www.nyc.com/arts__attractions/healing_arts.1604/editorial_review.aspx,135 Wythe Ave.,Brooklyn,11211,5.6
Mooney Robert J Arts Management,POINT (-73.99361475424345 40.68908922127575),(718) 852-9080,http://local.botw.org/New_York/Brooklyn/Mooney_Robert_J_Arts_Management/34351212.html,174 Pacific St,Brooklyn,11201,5.6
Kentler International Drawing Space,POINT (-74.0129928623173 40.67694141344959),(718) 875-2098,http://www.kentlergallery.org/,353 Van Brunt Street,Brooklyn,11231,5.6
Brooklyn Arts Exchange,POINT (-73.98543282004819 40.66976941835214),(718) 832-0018,http://bax.org/,421 Fifth Ave.,Brooklyn,11215,5.6
Heilman Phillip Douglas,POINT (-73.92493699902394 40.6984896734577),(212) 787-1759,http://philipdouglasfineart.com,1336 Dekalb Ave,Brooklyn,11221,5.5
Demu Gallery,POINT (-73.97407489974366 40.68639582033313),(718) 596-8484,http://local.yahoo.com/info-11335092-demu-m-demu-gallery-brooklyn,761 Fulton St,Brooklyn,11217,5.5
A J ARTS LTD,POINT (-73.91691325451417 40.618609648042934),(718) 763-5473,http://yp.blogflux.com/directory/us/new-york/brooklyn/a-j-arts-ltd-6208-mill-ln/,6208 MILL LN,Brooklyn,11234,5.5
Faith Art Gallery Corp,POINT (-73.98502183713724 40.69145797289582),(718) 596-4659,http://ny.citysquares.com/brooklyn/downtown-brooklyn/arts-entertainment/artists-art-dealers/faith-art-gallery-corp,393 Bridge St,Brooklyn,11201,5.4
Clinton Hill Simply Art & Framing,POINT (-73.96081858855342 40.69419973833638),(718) 857-0074,http://clintonhillframe.blogspot.com/,583 Myrtle Ave,Brooklyn,11205,5.4
Art-Lore Inc,POINT (-73.95578568860223 40.738065759799625),(718) 389-7988,http://www.merchantcircle.com/business/Art.Lore.Inc.718-389-7988,1155 Manhattan Ave,Brooklyn,11222,5.4
AAA-Abbey Mdsng Co Inc,POINT (-73.9699306449376 40.64223848857642),(718) 253-8830,http://yp.blogflux.com/directory/us/new-york/brooklyn/aaaabbey-mdsng-co-inc/,618 Coney Island Ave,Brooklyn,11218,5.4
Bayo Studios,POINT (-73.93513085993379 40.70365264266154),1-800-939-2296,http://bayostudio.com/,210 Varet Street,Brooklyn,11206,5.4
Black & White Gallery Inc,POINT (-73.95464222868095 40.718442376759846),(718) 599-8775,http://www.blackandwhiteartgallery.com/,483 Driggs Ave,Brooklyn,11211,5.3
Belanthi,POINT (-73.9929238023326 40.689201818871105),(718) 624-9420,http://yp.blogflux.com/directory/us/new-york/brooklyn/belanthi-142-court-st/,142 Court St,Brooklyn,11201,5.3
Dollhaus,POINT (-73.96730076177079 40.710841276579444),(718) 384-6139,http://www.dollhaus.org,37 Broadway,Brooklyn,11211,5.3
Arts Action Research,POINT (-73.98338749200313 40.68664178336951),(718) 797-3661,http://www.artsaction.com/,423 Atlantic Ave,Brooklyn,11217,5.3
Object-Image,POINT (-73.97789833482246 40.67984870697147),(718) 623-2434,http://www.laurafantini.it/Documents/For_Immediate_Release09_2.pdf,91 5th Ave,Brooklyn,11217,5.3
Rotunda Gallery,POINT (-73.99146799382999 40.69515733841206),(718) 875-4047,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,33 Clinton St,Brooklyn,11201,5.2
Rudolph De Paola Art Gallery,POINT (-74.02172406852321 40.6179934963939),(718) 238-6026,http://www.merchantcircle.com/business/Rudolph.de.Paola.Art.Gallery.718-238-6026,6 Parrott Pl,Brooklyn,11228,5.0
Sarafina Inc,POINT (-73.9693726839187 40.69329478591217),(718) 522-1083,http://m.nyc.com/arts__attractions/sarafina_inc.739/whats_nearby.aspx?sec=att,411 Myrtle Ave,Brooklyn,11205,4.2
Schickler Howard Fine Art,POINT (-73.9899230191079 40.70287471566356),(212) 431-6363,http://www.schicklerart.com/,100 Water St,Brooklyn,11201,3.9
Seaside Summer Concert Series Inc,POINT (-73.96089003981638 40.65968268185264),(718) 469-1912,http://www.nyc.com/arts__attractions/seaside_summer_concert_series_inc.1588/editorial_review.aspx,572 Flatbush Ave,Brooklyn,11225,3.4
Shades of Art,POINT (-73.97949383741295 40.68753305466083),(718) 834-0084,http://www.merchantcircle.com/business/Shades.of.Art.718-834-0084,47 Flatbush Ave,Brooklyn,11217,3.0
Shulman B & M Inc,POINT (-73.9450654828952 40.600273523844436),(718) 646-6022,http://brooklyn.citysearch.com/profile/601893311/brooklyn_ny/b_m_shulman_inc.html,2623 Avenue U,Brooklyn,11229,2.7
Sloan McGill Collection,POINT (-73.95565084132937 40.65961513441343),(718) 469-1930,http://www.nyc.com/arts__attractions/sloan_mcgill_collection.1894/editorial_review.aspx,150 Midwood St,Brooklyn,11225,2.4
The Dollhaus Art Gallery,POINT (-73.96728726366906 40.710901835702906),(718) 486-0330,http://www.dollhaus.org/press/NYPress.htm,37 Broadway,Brooklyn,11211,2.3
Smack Mellon Studios,POINT (-73.98985972420431 40.703750736899),(718) 422-0989,http://www.smackmellon.org/,92 Plymouth St,Brooklyn,11201,2.3
Spring,POINT (-73.98739580880391 40.70224827687764),(718) 222-1054,http://www.spring3d.net/,126 Front St,Brooklyn,11201,1.8
State of Art,POINT (-73.95791517359595 40.73022121777638),(718) 349-7250,http://www.merchantcircle.com/blogs/State.of.Art.718-349-7250,113 Franklin St,Brooklyn,11222,1.5
